project_id,location,source
p_kushtia_neighborhood_mosque_ahsan_habib_1025782,Kushtia  Bangladesh,scrape
p_la_source_third_place_library_nas_archit_1031808,Rochefort-du-Gard  France,scrape
p_leiden_university_lecture_hall_civic_arc_1034678,Leiden  The Netherlands,scrape
p_leisure_center_jules_ferry_school_group_1035333,Cébazat  France,scrape
p_library_of_chongqing_electric_power_coll_1023695,Tong Nan  China,scrape
p_living_places_copenhagen_effekt_1018529,Copenhagen  Denmark,scrape
p_long_march_cultural_digital_art_museum_c_1022354,Gui Yang Shi  China,scrape
p_louis_saint_laurent_school_stgm_architec_1026167,Canada,scrape
p_m_sironi_academy_of_fine_arts_lerua_stud_1034676,Sassari  Italy,scrape
p_majlis_the_manama_wind_catchers_pavilion_1034852,Venezia  Italy,scrape
p_mengzi_nsau_bookstore_of_librairie_avant_1029258,Mengzi  China,scrape
p_mirage_in_yumeshima_pondedge_f_a_r_m_1035126,Osaka  Japan,scrape
p_modern_history_of_christianity_museum_ko_1028005,South Korea,scrape
p_modern_mongolian_ger_installation_ger_at_1032499,Chifeng  China,scrape
p_moon_pavilion_atelier_guo_1034543,Huizhou  China,scrape
p_mumo_museum_of_motorcycles_draa_1030778,Puerto Octay  Chile,scrape
p_munarra_centre_for_regional_excellence_a_1035026,Shepparton  Australia,scrape
p_museum_bezau_innauer_matt_architekten_1031766,Bezau  Austria,scrape
p_nara_church_arkpro_studio_albania_1027588,Albania,scrape
p_neighborhood_center_augustin_nbundm_1034673,Ingolstadt  Germany,scrape
p_new_apostolic_church_bez_kock_architekte_1027905,Germany,scrape
p_new_churches_st_luke_st_matthew_meixner_1027333,Germany,scrape
p_new_taipei_city_art_museum_kris_yao_arte_1023080,New Taipei  Taiwan,scrape
p_nhm_commons_museum_wing_and_community_hu_1023820,Los Angeles  United States,scrape
p_no_7_ceramic_art_research_base_phase_one_1022020,Fo Shan  China,scrape
p_north_boulder_library_workac_1030123,Boulder  United States,scrape
p_nujiang_grand_canyon_bookstore_of_librai_1022326,Nujiang Lisu Autonomous Prefecture  China,scrape
p_oman_across_ages_museum_cox_architecture_1024366,Nizwa  Oman,scrape
p_pan_orama_pavilion_associates_architectu_1035385,Rome  Italy,scrape
p_paris_fondation_cartier_for_contemporary_1035305,Paris  France,scrape
p_pietro_maria_bardi_masp_building_metro_a_1026123,São Paulo  Brazil,scrape
p_pina_contempor_nea_museum_arquitetos_ass_1014137,São Paulo  Brazil,scrape
p_powerhouse_castle_hill_lahznimmo_archite_1014130,Castle Hill  Australia,scrape
p_rahmah_library_the_maak_1033750,Cape Town  South Africa,scrape
p_recreation_center_morel_de_vind_sch_maa_956856,La Celle-Saint-Cloud  France,scrape
p_reinterpretation_of_national_museum_of_p_1032587,Taitung  Taiwan,scrape
p_renovation_and_expansion_of_shenzhen_lon_1027926,Shenzhen  China,scrape
p_renovation_expansion_of_sichuan_universi_1031606,Chengdu  China,scrape
p_resting_chapel_jung_architekti_1025027,Dolní Bojanovice,scrape
p_restoration_and_enhancement_of_the_patri_1034427,Lisboa  Portugal,scrape
p_restoration_of_sant_esteve_church_santam_1032564,Marganell  Spain,scrape
p_retrofit_of_santa_maria_school_carvalho_1034261,São Paulo  Brazil,scrape
p_sailing_castle_ren_ai_cheng_tsung_feng_d_1035634,Taipei  Taiwan,scrape
p_salem_public_library_renovation_hacker_a_1024470,Salem  United States,scrape
p_sanctuary_tunnel_garden_rad_ar_research_1027508,Indonesia,scrape
p_seoul_robot_ai_museum_melike_alt_n_k_arc_1022554,Seoul  South Korea,scrape
p_shafagh_tomb_35_51_architecture_office_1029019,Ardakan  Iran,scrape
p_shenzhen_science_and_technology_museum_z_1029762,Shenzhen  China,scrape
p_shonan_institute_of_technology_high_scho_1024901,Kanagawa  Japan,scrape
p_smvit_library_cadence_architects_1034143,India,scrape
p_sona_university_centre_library_block_imk_1024858,Salem  India,scrape
p_songzhuang_z_museum_team_bldg_1030268,Lishui  China,scrape
p_south_east_centre_for_contemporary_art_s_1035115,Bega  Australia,scrape
p_st_louis_symphony_orchestra_s_powell_hal_1034813,St. Louis  United States,scrape
p_stasys_museum_implmnt_architects_1023136,Panevėžys  Lithuania,scrape
p_suite_9_at_delft_university_of_technolog_1034579,Delft  The Netherlands,scrape
p_tcdd_temporary_offices_art_galleries_erh_1035027,Türkiye,scrape
p_temple_complex_and_community_center_nard_1034500,Gandhinagar  India,scrape
p_the_chapel_berger_parkkinen_architects_1034229,Austria,scrape
p_the_chapel_of_st_th_r_se_of_lisieux_bull_1034833,Lyttelton  New Zealand,scrape
p_the_chapel_retold_the_danish_association_1034479,Copenhagen  Denmark,scrape
p_the_court_theatre_haworth_tompkins_1034663,Christchurch  New Zealand,scrape
p_the_et_302_memorial_alebel_desta_consult_1028581,Ethiopia,scrape
p_the_katy_museum_bbgk_architekci_1028620,Warszawa  Poland,scrape
p_the_school_of_social_development_studio_999512,Dedgaun  Nepal,scrape
p_thomas_sankara_mausoleum_kere_architectu_1030302,Ouagadougou  Burkina Faso,scrape
p_thoravej_29_pihlmann_architects_1034502,Copenhagen  Denmark,scrape
p_tianjin_zhongshuge_library_x_living_1022985,China,scrape
p_tile_chapel_jimenez_arquitectos_fb_estud_1026511,Ecuador,scrape
p_viking_fortress_borgring_experience_cent_1033647,Køge  Denmark,scrape
p_widna_haven_community_center_and_library_1031260,Gdynia  Poland,scrape
p_workshop_with_three_courtyards_opposite_1034403,Rosenheim  Germany,scrape
p_x_museum_studio_nor_1024371,Beijing  China,scrape
p_xiao_feng_art_museum_zao_zhang_ke_archit_1035415,Hangzhou  China,scrape
p_yellow_river_national_museum_building_an_1031402,Zhengzhou  China,scrape
p_yohoo_museum_aedas_1024957,Hangzhou  China,scrape
p_yue_yue_art_museum_equestrian_hall_cu_of_1030592,Yantai  China,scrape
p_yuyarina_pacha_community_library_al_bord_1025453,San Vicente de Huaticocha  Ecuador,scrape
